"CountryCode","Country","Year","Sex","LifeExpectancyAt60","LifeExpectancy","Region"
"BEN","Benin",2015,"MLE",15.62039,59.66497,"Africa"
"BEN","Benin",2019,"MLE",16.12865,61.19024,"Africa"
"BEN","Benin",2000,"FMLE",17.41239,58.77462,"Africa"
"BEN","Benin",2010,"FMLE",17.96548,62.87867,"Africa"
"BEN","Benin",2015,"FMLE",18.20796,64.24706,"Africa"
"BEN","Benin",2019,"FMLE",18.52186,65.66406,"Africa"
"BEN","Benin",2000,"BTSX",16.07895,56.59007,"Africa"
"BEN","Benin",2010,"BTSX",16.68753,60.47139,"Africa"
"BEN","Benin",2015,"BTSX",17.00945,61.96257,"Africa"
"BEN","Benin",2019,"BTSX",17.40227,63.42606,"Africa"
"BFA","Burkina Faso",2000,"MLE",14.09927,49.92492,"Africa"
"BFA","Burkina Faso",2010,"MLE",14.53477,56.18855,"Africa"
"BFA","Burkina Faso",2015,"MLE",14.7517,58.24176,"Africa"
"BFA","Burkina Faso",2019,"MLE",15.23073,60.06457,"Africa"
"BFA","Burkina Faso",2000,"FMLE",16.62066,53.14076,"Africa"
"BFA","Burkina Faso",2010,"FMLE",17.42918,60.78899,"Africa"
"BFA","Burkina Faso",2015,"FMLE",17.76293,63.44909,"Africa"
"BFA","Burkina Faso",2019,"FMLE",18.0622,65.22655,"Africa"
"BFA","Burkina Faso",2000,"BTSX",15.52384,51.64145,"Africa"
"BFA","Burkina Faso",2010,"BTSX",16.16793,58.59142,"Africa"
"BFA","Burkina Faso",2015,"BTSX",16.44196,60.91832,"Africa"
"BFA","Burkina Faso",2019,"BTSX",16.81751,62.7035,"Africa"
"BGD","Bangladesh",2000,"MLE",17.10725,64.0705,"South-East Asia"
"BGD","Bangladesh",2010,"MLE",18.06347,68.6325,"South-East Asia"
"BGD","Bangladesh",2015,"MLE",20.49308,72.49697,"South-East Asia"
"BGD","Bangladesh",2019,"MLE",20.25749,72.99429,"South-East Asia"
"BGD","Bangladesh",2000,"FMLE",18.70139,67.35784,"South-East Asia"
"BGD","Bangladesh",2010,"FMLE",20.14058,72.21562,"South-East Asia"
"BGD","Bangladesh",2015,"FMLE",21.36941,74.78614,"South-East Asia"
"BGD","Bangladesh",2019,"FMLE",21.53054,75.63741,"South-East Asia"
"BGD","Bangladesh",2000,"BTSX",17.84105,65.58728,"South-East Asia"
"BGD","Bangladesh",2010,"BTSX",19.0189,70.28825,"South-East Asia"
"BGD","Bangladesh",2015,"BTSX",20.9037,73.58051,"South-East Asia"
"BGD","Bangladesh",2019,"BTSX",20.86123,74.25471,"South-East Asia"
"BGR","Bulgaria",2000,"MLE",15.8561,68.40388,"Europe"
"BGR","Bulgaria",2010,"MLE",16.69488,70.18677,"Europe"
"BGR","Bulgaria",2015,"MLE",17.05957,71.17231,"Europe"
"BGR","Bulgaria",2019,"MLE",17.40699,71.64895,"Europe"
"BGR","Bulgaria",2000,"FMLE",19.19707,74.96658,"Europe"
"BGR","Bulgaria",2010,"FMLE",20.92172,77.23328,"Europe"
"BGR","Bulgaria",2015,"FMLE",21.50453,78.04005,"Europe"
"BGR","Bulgaria",2019,"FMLE",21.97048,78.59532,"Europe"
"BGR","Bulgaria",2000,"BTSX",17.59515,71.60985,"Europe"
"BGR","Bulgaria",2010,"BTSX",18.91896,73.64205,"Europe"
"BGR","Bulgaria",2015,"BTSX",19.40438,74.55482,"Europe"
"BGR","Bulgaria",2019,"BTSX",19.81913,75.07156,"Europe"
"BHR","Bahrain",2000,"MLE",14.45724,69.54983,"Eastern Mediterranean"
"BHR","Bahrain",2010,"MLE",17.37833,73.8488,"Eastern Mediterranean"
"BHR","Bahrain",2015,"MLE",19.38643,75.86536,"Eastern Mediterranean"
"BHR","Bahrain",2019,"MLE",18.72444,75.04118,"Eastern Mediterranean"
"BHR","Bahrain",2000,"FMLE",15.61054,71.77354,"Eastern Mediterranean"
"BHR","Bahrain",2010,"FMLE",18.26713,75.34072,"Eastern Mediterranean"
"BHR","Bahrain",2015,"FMLE",19.95009,77.27293,"Eastern Mediterranean"
"BHR","Bahrain",2019,"FMLE",19.36007,77.01587,"Eastern Mediterranean"
"BHR","Bahrain",2000,"BTSX",14.96732,70.46838,"Eastern Mediterranean"
