"CountryCode","Year","Sex","LifeExpectancyAt60"
"BOL",2000,"MLE",17.19475
"BOL",2010,"MLE",18.15619
"BOL",2015,"MLE",18.07467
"BOL",2019,"MLE",18.04044
"BOL",2000,"FMLE",18.36396
"BOL",2010,"FMLE",18.87307
"BOL",2015,"FMLE",18.90967
"BOL",2019,"FMLE",19.05573
"BOL",2000,"BTSX",17.79955
"BOL",2010,"BTSX",18.52945
"BOL",2015,"BTSX",18.50566
"BOL",2019,"BTSX",18.56203
"BRA",2000,"MLE",17.95599
"BRA",2010,"MLE",19.02023
"BRA",2015,"MLE",19.65012
"BRA",2019,"MLE",20.08655
"BRA",2000,"FMLE",21.30753
"BRA",2010,"FMLE",22.42419
"BRA",2015,"FMLE",22.99521
"BRA",2019,"FMLE",23.50729
"BRA",2000,"BTSX",19.69747
"BRA",2010,"BTSX",20.81183
"BRA",2015,"BTSX",21.42377
"BRA",2019,"BTSX",21.90207
"BRB",2000,"MLE",19.68561
"BRB",2010,"MLE",20.80834
"BRB",2015,"MLE",21.01266
"BRB",2019,"MLE",19.93827
"BRB",2000,"FMLE",21.5232
"BRB",2010,"FMLE",21.69327
"BRB",2015,"FMLE",21.71943
"BRB",2019,"FMLE",21.79063
"BRB",2000,"BTSX",20.71631
"BRB",2010,"BTSX",21.29921
"BRB",2015,"BTSX",21.39643
"BRB",2019,"BTSX",20.92302
"BRN",2000,"MLE",16.21333
"BRN",2010,"MLE",18.40824
"BRN",2015,"MLE",18.67176
"BRN",2019,"MLE",18.96906
"BRN",2000,"FMLE",17.41208
"BRN",2010,"FMLE",19.55717
"BRN",2015,"FMLE",19.35874
"BRN",2019,"FMLE",19.38045
"BRN",2000,"BTSX",16.78324
"BRN",2010,"BTSX",19.00035
"BRN",2015,"BTSX",19.02835
"BRN",2019,"BTSX",19.17096
"BTN",2000,"MLE",17.71111
"BTN",2010,"MLE",18.42244
"BTN",2015,"MLE",18.71894
"BTN",2019,"MLE",18.88855
"BTN",2000,"FMLE",18.2259
"BTN",2010,"FMLE",19.48399
"BTN",2015,"FMLE",19.71625
"BTN",2019,"FMLE",19.94531
"BTN",2000,"BTSX",17.94748
"BTN",2010,"BTSX",18.8915
"BTN",2015,"BTSX",19.16051
"BTN",2019,"BTSX",19.36012
"BWA",2000,"MLE",10.39295
"BWA",2010,"MLE",13.05543
"BWA",2015,"MLE",13.88858
"BWA",2019,"MLE",14.16167
"BWA",2000,"FMLE",15.8183
"BWA",2010,"FMLE",17.31952
"BWA",2015,"FMLE",17.61233
"BWA",2019,"FMLE",17.97302
"BWA",2000,"BTSX",12.92455
"BWA",2010,"BTSX",15.26207
"BWA",2015,"BTSX",15.88702
"BWA",2019,"BTSX",16.24883
"CAF",2000,"MLE",10.14748
"CAF",2010,"MLE",10.72568
"CAF",2015,"MLE",10.98759
"CAF",2019,"MLE",11.31051
"CAF",2000,"FMLE",13.37044
"CAF",2010,"FMLE",14.20045
"CAF",2015,"FMLE",14.39733
"CAF",2019,"FMLE",14.85052
"CAF",2000,"BTSX",11.7695
"CAF",2010,"BTSX",12.51403
"CAF",2015,"BTSX",12.77284
"CAF",2019,"BTSX",13.16634
"CAN",2000,"MLE",20.53786
"CAN",2010,"MLE",22.83945
"CAN",2015,"MLE",23.34338
"CAN",2019,"MLE",23.83582
"CAN",2000,"FMLE",24.26888
"CAN",2010,"FMLE",25.70212
