"IndicatorCode","SpatialDimType","SpatialDim","TimeDimType","TimeDim","Dim1Type","Dim1","NumericValue"
"WHOSIS_000001","COUNTRY","AZE","YEAR",2010,"SEX","FMLE",71.82773
"WHOSIS_000001","COUNTRY","AZE","YEAR",2015,"SEX","FMLE",73.42561
"WHOSIS_000001","COUNTRY","AZE","YEAR",2019,"SEX","FMLE",74.09107
"WHOSIS_000001","COUNTRY","AZE","YEAR",2000,"SEX","BTSX",65.52002
"WHOSIS_000001","COUNTRY","AZE","YEAR",2010,"SEX","BTSX",69.02677
"WHOSIS_000001","COUNTRY","AZE","YEAR",2015,"SEX","BTSX",70.6707
"WHOSIS_000001","COUNTRY","AZE","YEAR",2019,"SEX","BTSX",71.42894
"WHOSIS_000001","COUNTRY","BDI","YEAR",2000,"SEX","MLE",41.79497
"WHOSIS_000001","COUNTRY","BDI","YEAR",2010,"SEX","MLE",56.85909
"WHOSIS_000001","COUNTRY","BDI","YEAR",2015,"SEX","MLE",59.83564
"WHOSIS_000001","COUNTRY","BDI","YEAR",2019,"SEX","MLE",61.54819
"WHOSIS_000001","COUNTRY","BDI","YEAR",2000,"SEX","FMLE",45.85238
"WHOSIS_000001","COUNTRY","BDI","YEAR",2010,"SEX","FMLE",60.31611
"WHOSIS_000001","COUNTRY","BDI","YEAR",2015,"SEX","FMLE",64.26167
"WHOSIS_000001","COUNTRY","BDI","YEAR",2019,"SEX","FMLE",66.13831
"WHOSIS_000001","COUNTRY","BDI","YEAR",2000,"SEX","BTSX",43.78423
"WHOSIS_000001","COUNTRY","BDI","YEAR",2010,"SEX","BTSX",58.59703
"WHOSIS_000001","COUNTRY","BDI","YEAR",2015,"SEX","BTSX",62.04675
"WHOSIS_000001","COUNTRY","BDI","YEAR",2019,"SEX","BTSX",63.83847
"WHOSIS_000001","COUNTRY","BEL","YEAR",2000,"SEX","MLE",74.53505
"WHOSIS_000001","COUNTRY","BEL","YEAR",2010,"SEX","MLE",77.23535
"WHOSIS_000001","COUNTRY","BEL","YEAR",2015,"SEX","MLE",78.48286
"WHOSIS_000001","COUNTRY","BEL","YEAR",2019,"SEX","MLE",79.29116
"WHOSIS_000001","COUNTRY","BEL","YEAR",2000,"SEX","FMLE",80.73817
"WHOSIS_000001","COUNTRY","BEL","YEAR",2010,"SEX","FMLE",82.37853
"WHOSIS_000001","COUNTRY","BEL","YEAR",2015,"SEX","FMLE",82.86372
"WHOSIS_000001","COUNTRY","BEL","YEAR",2019,"SEX","FMLE",83.50694
"WHOSIS_000001","COUNTRY","BEL","YEAR",2000,"SEX","BTSX",77.66169
"WHOSIS_000001","COUNTRY","BEL","YEAR",2010,"SEX","BTSX",79.84602
"WHOSIS_000001","COUNTRY","BEL","YEAR",2015,"SEX","BTSX",80.71184
"WHOSIS_000001","COUNTRY","BEL","YEAR",2019,"SEX","BTSX",81.42305
"WHOSIS_000001","COUNTRY","BEN","YEAR",2000,"SEX","MLE",54.30958
"WHOSIS_000001","COUNTRY","BEN","YEAR",2010,"SEX","MLE",58.03378
"WHOSIS_000001","COUNTRY","BEN","YEAR",2015,"SEX","MLE",59.66497
"WHOSIS_000001","COUNTRY","BEN","YEAR",2019,"SEX","MLE",61.19024
"WHOSIS_000001","COUNTRY","BEN","YEAR",2000,"SEX","FMLE",58.77462
"WHOSIS_000001","COUNTRY","BEN","YEAR",2010,"SEX","FMLE",62.87867
"WHOSIS_000001","COUNTRY","BEN","YEAR",2015,"SEX","FMLE",64.24706
"WHOSIS_000001","COUNTRY","BEN","YEAR",2019,"SEX","FMLE",65.66406
"WHOSIS_000001","COUNTRY","BEN","YEAR",2000,"SEX","BTSX",56.59007
"WHOSIS_000001","COUNTRY","BEN","YEAR",2010,"SEX","BTSX",60.47139
"WHOSIS_000001","COUNTRY","BEN","YEAR",2015,"SEX","BTSX",61.96257
"WHOSIS_000001","COUNTRY","BEN","YEAR",2019,"SEX","BTSX",63.42606
"WHOSIS_000001","COUNTRY","BFA","YEAR",2000,"SEX","MLE",49.92492
"WHOSIS_000001","COUNTRY","BFA","YEAR",2010,"SEX","MLE",56.18855
"WHOSIS_000001","COUNTRY","BFA","YEAR",2015,"SEX","MLE",58.24176
"WHOSIS_000001","COUNTRY","BFA","YEAR",2019,"SEX","MLE",60.06457
"WHOSIS_000001","COUNTRY","BFA","YEAR",2000,"SEX","FMLE",53.14076
"WHOSIS_000001","COUNTRY","BFA","YEAR",2010,"SEX","FMLE",60.78899
"WHOSIS_000001","COUNTRY","BFA","YEAR",2015,"SEX","FMLE",63.44909
